District,date,active,confirmed,deceased,recovered,confirmed after 15 days,death after 15 days,confirmed one week,death one week
Chennai,4/21/2020,264,363,0,99,2331,22,528,0
Chennai,4/22/2020,279,378,0,99,2647,23,575,0
Chennai,4/23/2020,306,405,0,99,3046,25,678,8
Chennai,4/24/2020,358,457,0,99,3325,28,772,14
Chennai,4/25/2020,401,500,0,99,3834,29,910,15
Chennai,4/26/2020,429,528,0,99,4372,33,1086,16
Chennai,4/27/2020,476,575,0,99,4882,40,1260,17
Chennai,4/28/2020,475,678,8,195,5262,43,1463,17
Chennai,4/29/2020,548,772,14,210,5625,45,1729,18
Chennai,4/30/2020,681,910,15,214,5947,49,2007,20
Chennai,5/1/2020,848,1086,16,222,6279,52,2331,22
Chennai,5/2/2020,1020,1260,17,223,6761,54,2647,23
Chennai,5/3/2020,1196,1463,17,250,7125,57,3046,25
Chennai,5/4/2020,1444,1729,18,267,7677,59,3325,28
Chennai,5/5/2020,1668,2007,20,319,8234,61,3834,29
Chennai,5/6/2020,1979,2331,22,330,8801,68,4372,33
Chennai,5/7/2020,2285,2647,23,339,9370,70,4882,40
Chennai,5/8/2020,2647,3046,25,374,9995,75,5262,43
Chennai,5/9/2020,2752,3325,28,545,10582,81,5625,45
Chennai,5/10/2020,3166,3834,29,639,11131,87,5947,49
Chennai,5/11/2020,3633,4372,33,706,11641,94,6279,52
Chennai,5/12/2020,4093,4882,40,749,12198,98,6761,54
Chennai,5/13/2020,4470,5262,43,749,12757,109,7125,57
Chennai,5/14/2020,4822,5625,45,758,13379,116,7677,59
Chennai,5/15/2020,5115,5947,49,783,13995,122,8234,61
Chennai,5/16/2020,5025,6279,52,1202,14799,132,8801,68
Chennai,5/17/2020,5231,6761,54,1476,15766,141,9370,70
Chennai,5/18/2020,5468,7125,57,1600,16575,153,9995,75
Chennai,5/19/2020,5696,7677,59,1922,17587,153,10582,81
Chennai,5/20/2020,5350,8234,61,2823,18693,167,11131,87
Chennai,5/21/2020,5685,8801,68,3048,19809,179,11641,94
Chennai,5/22/2020,5527,9370,70,3773,20955,198,12198,98
Chennai,5/23/2020,5869,9995,75,4051,22111,213,12757,109
Chennai,5/24/2020,5657,10582,81,4844,23298,225,13379,116
Chennai,5/25/2020,5909,11131,87,5135,24545,241,13995,122
Chennai,5/26/2020,6055,11641,94,5492,25937,257,14799,132
Chennai,5/27/2020,6300,12198,98,5800,27398,276,15766,141
Chennai,5/28/2020,6344,12757,109,6304,28924,291,16575,153
Chennai,5/29/2020,6368,13379,116,6895,30444,314,17587,153
Chennai,5/30/2020,6552,13995,122,7321,31896,344,18693,167
Chennai,5/31/2020,6776,14799,132,7891,33244,379,19809,179
Chennai,6/1/2020,7444,15766,141,8181,34245,419,20955,198
Chennai,6/2/2020,7868,16575,153,8554,35556,458,22111,213
Chennai,6/3/2020,8400,17587,153,9034,37070,498,23298,225
Chennai,6/4/2020,9067,18693,167,9459,38327,526,24545,241
Chennai,6/5/2020,9420,19809,179,10210,39641,556,25937,257
Chennai,6/6/2020,10185,20955,198,10572,41172,598,27398,276
Chennai,6/7/2020,10944,22111,213,10954,42752,620,28924,291
Chennai,6/8/2020,11817,23298,225,11256,44205,642,30444,314
Chennai,6/9/2020,12574,24545,241,11730,45814,665,31896,344
Chennai,6/10/2020,13089,25937,257,12591,47650,691,33244,379
Chennai,6/11/2020,13314,27398,276,13808,49690,727,34245,419
Chennai,6/12/2020,13910,28924,291,14723,51699,773,35556,458
Chennai,6/13/2020,14183,30444,314,15947,53762,806,37070,498
Chennai,6/14/2020,14671,31896,344,16881,55969,843,38327,526
Chennai,6/15/2020,15389,33244,379,17476,58327,885,39641,556
Chennai,6/16/2020,15261,34245,419,18565,60533,926,41172,598
Chennai,6/17/2020,16071,35556,458,19027,62598,961,42752,620
Chennai,6/18/2020,16886,37070,498,19686,64689,993,44205,642
Chennai,6/19/2020,16703,38327,526,21098,66538,1030,45814,665
Chennai,6/20/2020,17289,39641,556,21796,68254,1051,47650,691
Chennai,6/21/2020,17687,41172,598,22887,70017,1079,49690,727
Chennai,6/22/2020,18376,42752,620,23756,71230,1117,51699,773
Chennai,6/23/2020,18893,44205,642,24670,72500,1143,53762,806
Chennai,6/24/2020,18677,45814,665,26472,73728,1166,55969,843
Chennai,6/25/2020,18973,47650,691,27986,74969,1193,58327,885
Chennai,6/26/2020,20140,49690,727,28823,76158,1218,60533,926
Chennai,6/27/2020,19881,51699,773,31045,77326,1243,62598,961
Chennai,6/28/2020,21098,53762,806,31858,78494,1268,64689,993
Chennai,6/29/2020,21685,55969,843,33441,79662,1295,66538,1030
Chennai,6/30/2020,22614,58327,885,34828,800901,1320,68254,1051
Chennai,7/1/2020,22781,60533,926,36826,82140,1345,70017,1079
Chennai,7/2/2020,22690,62598,961,38947,83379,1370,71230,1117
Chennai,7/3/2020,23585,64689,993,40111,84618,1395,72500,1143
Chennai,7/4/2020,24199,66538,1030,41309,85857,1420,73728,1166
Chennai,7/5/2020,24894,68254,1051,42309,87096,1445,74969,1193
Chennai,7/6/2020,24056,70017,1079,44882,88337,1475,76158,1218
Chennai,7/7/2020,22378,71230,1117,47735,89500,1500,77326,1243
