district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
Italy,12/31/2019,,0,0,,0,0,0,0
Italy,1/1/2020,,0,0,,0,0,0,0
Italy,1/2/2020,,0,0,,0,0,0,0
Italy,1/3/2020,,0,0,,0,0,0,0
Italy,1/4/2020,,0,0,,0,0,0,0
Italy,1/5/2020,,0,0,,0,0,0,0
Italy,1/6/2020,,0,0,,0,0,0,0
Italy,1/7/2020,,0,0,,0,0,0,0
Italy,1/8/2020,,0,0,,0,0,0,0
Italy,1/9/2020,,0,0,,0,0,0,0
Italy,1/10/2020,,0,0,,0,0,0,0
Italy,1/11/2020,,0,0,,0,0,0,0
Italy,1/12/2020,,0,0,,0,0,0,0
Italy,1/13/2020,,0,0,,0,0,0,0
Italy,1/14/2020,,0,0,,0,0,0,0
Italy,1/15/2020,,0,0,,0,0,0,0
Italy,1/16/2020,,0,0,,3,0,0,0
Italy,1/17/2020,,0,0,,3,0,0,0
Italy,1/18/2020,,0,0,,3,0,0,0
Italy,1/19/2020,,0,0,,3,0,0,0
Italy,1/20/2020,,0,0,,3,0,0,0
Italy,1/21/2020,,0,0,,3,0,0,0
Italy,1/22/2020,,0,0,,3,0,0,0
Italy,1/23/2020,,0,0,,3,0,0,0
Italy,1/24/2020,,0,0,,3,0,0,0
Italy,1/25/2020,,0,0,,3,0,0,0
Italy,1/26/2020,,0,0,,3,0,3,0
Italy,1/27/2020,,0,0,,3,0,3,0
Italy,1/28/2020,,0,0,,3,0,3,0
Italy,1/29/2020,,0,0,,3,0,3,0
Italy,1/30/2020,,0,0,,3,0,3,0
Italy,1/31/2020,,3,0,,3,0,3,0
Italy,2/1/2020,,3,0,,3,0,3,0
Italy,2/2/2020,,3,0,,3,0,3,0
Italy,2/3/2020,,3,0,,3,0,3,0
Italy,2/4/2020,,3,0,,3,0,3,0
Italy,2/5/2020,,3,0,,3,0,3,0
Italy,2/6/2020,,3,0,,3,0,3,0
Italy,2/7/2020,,3,0,,17,0,3,0
Italy,2/8/2020,,3,0,,79,2,3,0
Italy,2/9/2020,,3,0,,132,2,3,0
Italy,2/10/2020,,3,0,,229,6,3,0
Italy,2/11/2020,,3,0,,322,11,3,0
Italy,2/12/2020,,3,0,,400,12,3,0
Italy,2/13/2020,,3,0,,650,17,3,0
Italy,2/14/2020,,3,0,,888,21,3,0
Italy,2/15/2020,,3,0,,1128,29,3,0
Italy,2/16/2020,,3,0,,1689,35,3,0
Italy,2/17/2020,,3,0,,2036,52,17,0
Italy,2/18/2020,,3,0,,2502,80,79,2
Italy,2/19/2020,,3,0,,3089,107,132,2
Italy,2/20/2020,,3,0,,3858,148,229,6
Italy,2/21/2020,,3,0,,4636,197,322,11
Italy,2/22/2020,,17,0,,5883,233,400,12
Italy,2/23/2020,,79,2,,7375,366,650,17
Italy,2/24/2020,,132,2,,9172,464,888,21
Italy,2/25/2020,,229,6,,10149,631,1128,29
Italy,2/26/2020,,322,11,,12462,827,1689,35
Italy,2/27/2020,,400,12,,15113,1016,2036,52
Italy,2/28/2020,,650,17,,17660,1268,2502,80
Italy,2/29/2020,,888,21,,21157,1441,3089,107
Italy,3/1/2020,,1128,29,,23980,1811,3858,148
Italy,3/2/2020,,1689,35,,27980,2158,4636,197
Italy,3/3/2020,,2036,52,,31506,2505,5883,233
Italy,3/4/2020,,2502,80,,35713,2978,7375,366
Italy,3/5/2020,,3089,107,,41035,3407,9172,464
Italy,3/6/2020,,3858,148,,47021,4032,10149,631
Italy,3/7/2020,,4636,197,,53578,4827,12462,827
Italy,3/8/2020,,5883,233,,59138,5476,15113,1016
Italy,3/9/2020,,7375,366,,63927,6077,17660,1268
Italy,3/10/2020,,9172,464,,69176,6820,21157,1441
Italy,3/11/2020,,10149,631,,74386,7505,23980,1811
Italy,3/12/2020,,12462,827,,80539,8165,27980,2158
Italy,3/13/2020,,15113,1016,,86498,9136,31506,2505
Italy,3/14/2020,,17660,1268,,92472,10023,35713,2978
Italy,3/15/2020,,21157,1441,,97689,10781,41035,3407
Italy,3/16/2020,,23980,1811,,101739,11591,47021,4032
Italy,3/17/2020,,27980,2158,,105792,12430,53578,4827
Italy,3/18/2020,,31506,2505,,110574,13157,59138,5476
Italy,3/19/2020,,35713,2978,,115242,13917,63927,6077
