district,date,Active,confirmed,death,cured,confirmed 15days,death 15 days,confirmed one week,death one week
Tamil Nadu,7/3/2020,,1,0,0,7,0,1,0
Tamil Nadu,8/3/2020,,1,0,0,9,0,1,0
Tamil Nadu,9/3/2020,,1,0,0,15,0,1,0
Tamil Nadu,10/3/2020,,1,0,0,18,0,1,0
Tamil Nadu,11/3/2020,,1,0,0,26,1,1,0
Tamil Nadu,12/3/2020,,1,0,0,29,1,1,0
Tamil Nadu,13/03/20,,1,0,0,40,1,1,0
Tamil Nadu,14/03/20,,1,0,0,49,1,2,0
Tamil Nadu,15/03/20,,1,0,0,67,1,3,0
Tamil Nadu,16/03/20,,1,0,0,74,1,3,0
Tamil Nadu,17/03/20,,1,0,0,234,1,7,0
Tamil Nadu,18/03/20,,1,0,0,234,1,9,0
Tamil Nadu,19/03/20,,2,0,1,309,1,15,0
Tamil Nadu,20/03/20,,3,0,1,411,2,18,0
Tamil Nadu,21/03/20,,3,0,1,485,3,26,1
Tamil Nadu,22/03/20,,7,0,1,571,5,29,1
Tamil Nadu,23/03/20,,9,0,1,621,5,40,1
Tamil Nadu,24/03/20,,15,0,1,690,7,49,1
Tamil Nadu,25/03/20,,18,0,1,738,8,67,1
Tamil Nadu,26/03/20,,26,1,1,834,8,74,1
Tamil Nadu,27/03/20,,29,1,1,911,8,234,1
Tamil Nadu,28/03/20,,40,1,2,969,10,234,1
Tamil Nadu,29/03/20,,49,1,4,1075,11,309,1
Tamil Nadu,30/03/20,,67,1,4,1173,11,411,2
Tamil Nadu,31/03/20,,74,1,4,1204,12,485,3
Tamil Nadu,1/4/2020,,234,1,6,1242,14,571,5
Tamil Nadu,2/4/2020,,234,1,6,1267,15,621,5
Tamil Nadu,3/4/2020,,309,1,6,1323,15,690,7
Tamil Nadu,4/4/2020,,411,2,6,1372,15,738,8
Tamil Nadu,5/4/2020,,485,3,6,1477,15,834,8
Tamil Nadu,6/4/2020,,571,5,8,1520,17,911,8
Tamil Nadu,7/4/2020,,621,5,8,1596,18,969,10
Tamil Nadu,8/4/2020,,690,7,19,1629,18,1075,11
Tamil Nadu,9/4/2020,,738,8,21,1683,20,1173,11
Tamil Nadu,10/4/2020,,834,8,21,1755,22,1204,12
Tamil Nadu,11/4/2020,,911,8,44,1821,23,1242,14
Tamil Nadu,12/4/2020,,969,10,44,1885,24,1267,15
Tamil Nadu,13/04/20,,1075,11,50,1937,24,1323,15
Tamil Nadu,14/04/20,,1173,11,58,2058,25,1372,15
Tamil Nadu,15/04/20,,1204,12,81,2162,27,1477,15
Tamil Nadu,16/04/20,,1242,14,118,2323,27,1520,17
Tamil Nadu,17/04/20,,1267,15,180,2526,28,1596,18
Tamil Nadu,18/04/20,,1323,15,283,2757,29,1629,18
Tamil Nadu,19/04/20,,1372,15,365,3023,30,1683,20
Tamil Nadu,20/04/20,,1477,15,411,3550,31,1755,22
Tamil Nadu,21/04/20,,1520,17,457,4058,33,1821,23
Tamil Nadu,22/04/20,,1596,18,635,4829,35,1885,24
Tamil Nadu,23/04/20,,1629,18,662,5409,37,1937,24
Tamil Nadu,24/04/20,,1683,20,752,6009,40,2058,25
Tamil Nadu,25/04/20,,1755,22,866,6535,44,2162,27
Tamil Nadu,26/04/20,,1821,23,960,7204,47,2323,27
Tamil Nadu,27/04/20,,1885,24,1020,8002,53,2526,28
Tamil Nadu,28/04/20,,1937,24,1101,8718,61,2757,29
Tamil Nadu,29/04/20,,2058,25,1168,9227,64,3023,30
Tamil Nadu,30/04/20,,2162,27,1210,9674,66,3550,31
Tamil Nadu,1/5/2020,,2323,27,1258,10108,71,4058,33
Tamil Nadu,2/5/2020,,2526,28,1312,10585,74,4829,35
Tamil Nadu,3/5/2020,,2757,29,1341,11224,78,5409,37
Tamil Nadu,4/5/2020,,3023,30,1379,11760,81,6009,40
Tamil Nadu,5/5/2020,,3550,31,1409,12448,84,6535,44
Tamil Nadu,6/5/2020,,4058,33,1485,13191,87,7204,47
Tamil Nadu,7/5/2020,,4829,35,1516,13967,94,8002,53
Tamil Nadu,8/5/2020,,5409,37,1547,14753,98,8718,61
Tamil Nadu,9/5/2020,,6009,40,1605,15512,103,9227,64
Tamil Nadu,10/5/2020,,6535,44,1824,16277,111,9674,66
Tamil Nadu,11/5/2020,,7204,47,1959,17082,118,10108,71
Tamil Nadu,12/5/2020,,8002,53,2051,17728,127,10585,74
Tamil Nadu,13/05/20,,8718,61,2134,18545,133,11224,78
Tamil Nadu,14/05/20,,9227,64,2176,19372,145,11760,81
Tamil Nadu,15/05/20,,9674,66,2240,20246,154,12448,84
Tamil Nadu,16/05/20,,10108,71,2599,21184,160,13191,87
Tamil Nadu,17/05/20,,10585,74,3538,22333,173,13967,94
Tamil Nadu,18/05/20,,11224,78,4172,23495,184,14753,98
Tamil Nadu,19/05/20,,11760,81,4406,24586,197,15512,103
Tamil Nadu,20/05/20,,12448,84,4895,25872,208,16277,111
Tamil Nadu,21/05/20,,13191,87,5882,27256,220,17082,118
Tamil Nadu,22/05/20,,13967,94,6282,28694,232,17728,127
Tamil Nadu,23/05/20,,14753,98,7128,30152,251,18545,133
Tamil Nadu,24/05/20,,15512,103,7491,31667,269,19372,145
Tamil Nadu,25/05/20,,16277,111,8324,33229,286,20246,154
Tamil Nadu,26/05/20,,17082,118,8731,34914,307,21184,160
Tamil Nadu,27/05/20,,17728,127,9342,36841,326,22333,173
Tamil Nadu,28/05/20,,18545,133,9909,38716,349,23495,184
Tamil Nadu,29/05/20,,19372,145,10548,40698,367,24586,197
Tamil Nadu,30/05/20,,20246,154,11313,42687,397,25872,208
Tamil Nadu,31/05/20,,21184,160,12000,44661,435,27256,220
Tamil Nadu,1/6/2020,,22333,173,12757,46504,479,28694,232
Tamil Nadu,2/6/2020,,23495,184,13170,48019,528,30152,251
Tamil Nadu,3/6/2020,,24586,197,13706,50193,576,31667,269
Tamil Nadu,4/6/2020,,25872,208,14316,52334,625,33229,286
Tamil Nadu,5/6/2020,,27256,220,14902,54449,666,34914,307
Tamil Nadu,6/6/2020,,28694,232,15762,56845,704,36841,326
Tamil Nadu,7/6/2020,,30152,251,16395,59377,757,38716,349
Tamil Nadu,8/6/2020,,31667,269,16999,62087,794,40698,367
Tamil Nadu,9/6/2020,,33229,286,17527,64603,833,42687,397
Tamil Nadu,10/6/2020,,34914,307,18325,67468,866,44661,435
Tamil Nadu,11/6/2020,,36841,326,19333,70977,911,46504,479
Tamil Nadu,12/6/2020,,38716,349,20705,74622,957,48019,528
Tamil Nadu,13/06/20,,40698,367,22047,78335,1025,50193,576
Tamil Nadu,14/06/20,,42687,397,23409,82275,1079,52334,625
Tamil Nadu,15/06/20,,44661,435,24547,86224,1141,54449,666
Tamil Nadu,16/06/20,,46504,479,25344,90167,1201,56845,704
Tamil Nadu,17/06/20,,48019,528,26782,94049,1264,59377,757
Tamil Nadu,18/06/20,,50193,576,27624,98392,1321,62087,794
Tamil Nadu,19/06/20,,52334,625,28641,102721,1385,64603,833
Tamil Nadu,20/06/20,,54449,666,30271,107001,1450,67468,866
Tamil Nadu,21/06/20,,56845,704,31316,111151,1510,70977,911
Tamil Nadu,22/06/20,,59377,757,32754,114978,1571,74622,957
Tamil Nadu,23/06/20,,62087,794,34112,118594,1636,78335,1025
Tamil Nadu,24/06/20,,64603,833,35339,122350,1700,82275,1079
Tamil Nadu,25/06/20,,67468,866,37763,126581,1765,86224,1141
Tamil Nadu,26/06/20,,70977,911,39999,130261,1829,90167,1201
Tamil Nadu,27/06/20,,74622,957,41357,134226,1898,94049,1264
Tamil Nadu,28/06/20,,78335,1025,44094,138470,1966,98392,1321
Tamil Nadu,29/06/20,,82275,1079,45537,142798,2032,102721,1385
Tamil Nadu,30/06/20,,86224,1141,47749,147324,2099,107001,1450
Tamil Nadu,1/7/2020,,90167,1201,50074,151820,2167,111151,1510
Tamil Nadu,2/7/2020,,94049,1264,52926,156369,2236,114978,1571
Tamil Nadu,3/7/2020,,98392,1321,56021,160907,2315,118594,1636
Tamil Nadu,4/7/2020,,102721,1385,58378,165714,2403,122350,1700
Tamil Nadu,5/7/2020,,107001,1450,60592,170693,2481,126581,1765
Tamil Nadu,6/7/2020,,111151,1510,62778,175678,2551,130261,1829
Tamil Nadu,7/7/2020,,114978,1571,66571,181258,2630,134226,1898
