district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
United Kingdom,12/31/2019,,0,0,,0,0,0,0
United Kingdom,1/1/2020,,0,0,,0,0,0,0
United Kingdom,1/2/2020,,0,0,,0,0,0,0
United Kingdom,1/3/2020,,0,0,,0,0,0,0
United Kingdom,1/4/2020,,0,0,,0,0,0,0
United Kingdom,1/5/2020,,0,0,,0,0,0,0
United Kingdom,1/6/2020,,0,0,,0,0,0,0
United Kingdom,1/7/2020,,0,0,,0,0,0,0
United Kingdom,1/8/2020,,0,0,,0,0,0,0
United Kingdom,1/9/2020,,0,0,,0,0,0,0
United Kingdom,1/10/2020,,0,0,,0,0,0,0
United Kingdom,1/11/2020,,0,0,,0,0,0,0
United Kingdom,1/12/2020,,0,0,,0,0,0,0
United Kingdom,1/13/2020,,0,0,,0,0,0,0
United Kingdom,1/14/2020,,0,0,,0,0,0,0
United Kingdom,1/15/2020,,0,0,,0,0,0,0
United Kingdom,1/16/2020,,0,0,,2,0,0,0
United Kingdom,1/17/2020,,0,0,,2,0,0,0
United Kingdom,1/18/2020,,0,0,,2,0,0,0
United Kingdom,1/19/2020,,0,0,,2,0,0,0
United Kingdom,1/20/2020,,0,0,,2,0,0,0
United Kingdom,1/21/2020,,0,0,,2,0,0,0
United Kingdom,1/22/2020,,0,0,,2,0,0,0
United Kingdom,1/23/2020,,0,0,,3,0,0,0
United Kingdom,1/24/2020,,0,0,,3,0,0,0
United Kingdom,1/25/2020,,0,0,,4,0,0,0
United Kingdom,1/26/2020,,0,0,,4,0,2,0
United Kingdom,1/27/2020,,0,0,,8,0,2,0
United Kingdom,1/28/2020,,0,0,,8,0,2,0
United Kingdom,1/29/2020,,0,0,,9,0,2,0
United Kingdom,1/30/2020,,0,0,,9,0,2,0
United Kingdom,1/31/2020,,2,0,,9,0,2,0
United Kingdom,2/1/2020,,2,0,,9,0,2,0
United Kingdom,2/2/2020,,2,0,,9,0,3,0
United Kingdom,2/3/2020,,2,0,,9,0,3,0
United Kingdom,2/4/2020,,2,0,,9,0,4,0
United Kingdom,2/5/2020,,2,0,,9,0,4,0
United Kingdom,2/6/2020,,2,0,,9,0,8,0
United Kingdom,2/7/2020,,3,0,,9,0,8,0
