district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
Uttar Pradesh,4/3/2020,6:00 PM,6,0,0,19,0,7,0
Uttar Pradesh,5/3/2020,6:00 PM,7,0,0,23,0,7,0
Uttar Pradesh,6/3/2020,6:00 PM,7,0,0,24,0,9,0
Uttar Pradesh,7/3/2020,6:00 PM,7,0,0,27,0,11,0
Uttar Pradesh,8/3/2020,6:00 PM,7,0,0,31,0,11,0
Uttar Pradesh,9/3/2020,6:00 PM,7,0,0,33,0,12,0
Uttar Pradesh,10/3/2020,6:00 PM,7,0,0,37,0,13,0
Uttar Pradesh,11/3/2020,6:00 PM,9,0,0,41,0,13,0
Uttar Pradesh,12/3/2020,6:00 PM,11,0,0,41,0,15,0
Uttar Pradesh,13/03/20,6:00 PM,11,0,0,55,0,16,0
Uttar Pradesh,14/03/20,6:00 PM,12,0,5,65,0,19,0
Uttar Pradesh,15/03/20,6:00 PM,13,0,4,82,0,23,0
Uttar Pradesh,16/03/20,6:00 PM,13,0,4,101,0,24,0
Uttar Pradesh,17/03/20,6:00 PM,15,0,5,103,2,27,0
Uttar Pradesh,18/03/20,6:00 PM,16,0,5,113,2,31,0
Uttar Pradesh,19/03/20,6:00 PM,19,0,9,172,2,33,0
Uttar Pradesh,20/03/20,6:00 PM,23,0,9,174,2,37,0
Uttar Pradesh,21/03/20,6:00 PM,24,0,9,227,2,41,0
Uttar Pradesh,22/03/20,6:00 PM,27,0,9,305,3,41,0
Uttar Pradesh,23/03/20,6:00 PM,31,0,9,305,3,55,0
Uttar Pradesh,24/03/20,6:00 PM,33,0,11,343,3,65,0
Uttar Pradesh,25/03/20,6:00 PM,37,0,11,410,4,82,0
Uttar Pradesh,26/03/20,6:00 PM,41,0,11,431,4,101,0
Uttar Pradesh,27/03/20,10:00 AM,41,0,11,433,4,103,2
Uttar Pradesh,28/03/20,6:00 PM,55,0,11,452,5,113,2
Uttar Pradesh,29/03/20,7:30 PM,65,0,11,483,5,172,2
Uttar Pradesh,30/03/20,9:30 PM,82,0,11,657,5,174,2
Uttar Pradesh,31/03/20,8:30 PM,101,0,14,735,11,227,2
Uttar Pradesh,1/4/2020,7:30 PM,103,2,14,773,13,305,3
Uttar Pradesh,2/4/2020,6:00 PM,113,2,14,846,14,305,3
Uttar Pradesh,3/4/2020,6:00 PM,172,2,14,969,14,343,3
Uttar Pradesh,4/4/2020,6:00 PM,174,2,19,1084,17,410,4
Uttar Pradesh,5/4/2020,6:00 PM,227,2,19,1176,17,431,4
Uttar Pradesh,6/4/2020,6:00 PM,305,3,21,1294,20,433,4
Uttar Pradesh,7/4/2020,6:00 PM,305,3,21,1412,21,452,5
Uttar Pradesh,8/4/2020,5:00 PM,343,3,26,1509,21,483,5
Uttar Pradesh,9/4/2020,5:00 PM,410,4,31,1604,24,657,5
Uttar Pradesh,10/4/2020,5:00 PM,431,4,32,1778,26,735,11
Uttar Pradesh,11/4/2020,5:00 PM,433,4,32,1843,29,773,13
Uttar Pradesh,12/4/2020,5:00 PM,452,5,45,1955,31,846,14
