district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
United States,12/31/2019,,0,0,,0,0,0,0
United States,1/1/2020,,0,0,,0,0,0,0
United States,1/2/2020,,0,0,,0,0,0,0
United States,1/3/2020,,0,0,,0,0,0,0
United States,1/4/2020,,0,0,,0,0,0,0
United States,1/5/2020,,0,0,,0,0,0,0
United States,1/6/2020,,0,0,,1,0,0,0
United States,1/7/2020,,0,0,,1,0,0,0
United States,1/8/2020,,0,0,,1,0,0,0
United States,1/9/2020,,0,0,,1,0,0,0
United States,1/10/2020,,0,0,,2,0,0,0
United States,1/11/2020,,0,0,,2,0,0,0
United States,1/12/2020,,0,0,,5,0,0,0
United States,1/13/2020,,0,0,,5,0,0,0
United States,1/14/2020,,0,0,,5,0,0,0
United States,1/15/2020,,0,0,,5,0,0,0
United States,1/16/2020,,0,0,,6,0,1,0
United States,1/17/2020,,0,0,,7,0,1,0
United States,1/18/2020,,0,0,,8,0,1,0
United States,1/19/2020,,0,0,,11,0,1,0
United States,1/20/2020,,0,0,,11,0,2,0
United States,1/21/2020,,1,0,,11,0,2,0
United States,1/22/2020,,1,0,,12,0,5,0
United States,1/23/2020,,1,0,,12,0,5,0
United States,1/24/2020,,1,0,,12,0,5,0
United States,1/25/2020,,2,0,,12,0,5,0
United States,1/26/2020,,2,0,,12,0,6,0
United States,1/27/2020,,5,0,,13,0,7,0
United States,1/28/2020,,5,0,,13,0,8,0
United States,1/29/2020,,5,0,,14,0,11,0
United States,1/30/2020,,5,0,,15,0,11,0
United States,1/31/2020,,6,0,,15,0,11,0
United States,2/1/2020,,7,0,,15,0,12,0
United States,2/2/2020,,8,0,,15,0,12,0
United States,2/3/2020,,11,0,,15,0,12,0
United States,2/4/2020,,11,0,,15,0,12,0
United States,2/5/2020,,11,0,,15,0,12,0
United States,2/6/2020,,12,0,,16,0,13,0
United States,2/7/2020,,12,0,,35,0,13,0
United States,2/8/2020,,12,0,,35,0,14,0
United States,2/9/2020,,12,0,,35,0,15,0
United States,2/10/2020,,12,0,,53,0,15,0
United States,2/11/2020,,13,0,,53,0,15,0
United States,2/12/2020,,13,0,,59,0,15,0
United States,2/13/2020,,14,0,,60,0,15,0
United States,2/14/2020,,15,0,,66,0,15,0
United States,2/15/2020,,15,0,,69,1,15,0
United States,2/16/2020,,15,0,,89,2,16,0
United States,2/17/2020,,15,0,,103,6,35,0
United States,2/18/2020,,15,0,,125,9,35,0
United States,2/19/2020,,15,0,,159,11,35,0
United States,2/20/2020,,15,0,,233,12,53,0
United States,2/21/2020,,16,0,,338,14,53,0
United States,2/22/2020,,35,0,,433,17,59,0
United States,2/23/2020,,35,0,,554,21,60,0
United States,2/24/2020,,35,0,,754,26,66,0
United States,2/25/2020,,53,0,,1025,28,69,1
United States,2/26/2020,,53,0,,1312,30,89,2
United States,2/27/2020,,59,0,,1663,40,103,6
United States,2/28/2020,,60,0,,2174,47,125,9
United States,2/29/2020,,66,0,,2951,57,159,11
United States,3/1/2020,,69,1,,3774,69,233,12
United States,3/2/2020,,89,2,,4661,85,338,14
United States,3/3/2020,,103,6,,6427,108,433,17
