district,date,active,confirmed,death,cured,confirmed15,death 15,confirmed5,death 5
Delhi,2/3/2020,6:00 PM,1,0,0,8,1,3,0
Delhi,3/3/2020,6:00 PM,1,0,0,10,1,3,0
Delhi,4/3/2020,6:00 PM,1,0,0,12,1,4,0
Delhi,5/3/2020,6:00 PM,2,0,0,17,1,4,0
Delhi,6/3/2020,6:00 PM,3,0,0,26,1,5,0
Delhi,7/3/2020,6:00 PM,3,0,0,29,1,6,0
Delhi,8/3/2020,6:00 PM,3,0,0,29,1,6,0
Delhi,9/3/2020,6:00 PM,4,0,0,30,1,7,1
Delhi,10/3/2020,6:00 PM,4,0,0,31,1,7,1
Delhi,11/3/2020,6:00 PM,5,0,0,36,1,7,1
Delhi,12/3/2020,6:00 PM,6,0,0,36,1,8,1
Delhi,13/03/20,6:00 PM,6,0,0,39,1,10,1
Delhi,14/03/20,6:00 PM,7,1,1,49,2,12,1
Delhi,15/03/20,6:00 PM,7,1,2,87,2,17,1
Delhi,16/03/20,6:00 PM,7,1,2,97,2,26,1
Delhi,17/03/20,6:00 PM,8,1,2,152,2,29,1
Delhi,18/03/20,6:00 PM,10,1,2,219,4,29,1
Delhi,19/03/20,6:00 PM,12,1,3,219,4,30,1
Delhi,20/03/20,6:00 PM,17,1,5,445,6,31,1
Delhi,21/03/20,6:00 PM,26,1,5,503,7,36,1
Delhi,22/03/20,6:00 PM,29,1,5,523,7,36,1
Delhi,23/03/20,6:00 PM,29,1,5,576,7,39,1
Delhi,24/03/20,6:00 PM,30,1,6,576,9,49,2
Delhi,25/03/20,6:00 PM,31,1,6,669,9,87,2
Delhi,26/03/20,6:00 PM,36,1,6,898,13,97,2
Delhi,27/03/20,10:00 AM,36,1,6,903,14,152,2
Delhi,28/03/20,6:00 PM,39,1,6,1069,19,219,4
Delhi,29/03/20,7:30 PM,49,2,6,1154,24,219,4
Delhi,30/03/20,9:30 PM,87,2,6,1510,28,445,6
Delhi,31/03/20,8:30 PM,97,2,6,1561,30,503,7
Delhi,1/4/2020,7:30 PM,152,2,6,1578,32,523,7
Delhi,2/4/2020,6:00 PM,219,4,8,1640,38,576,7
Delhi,3/4/2020,6:00 PM,219,4,8,1707,42,576,9
Delhi,4/4/2020,6:00 PM,445,6,15,1893,43,669,9
Delhi,5/4/2020,6:00 PM,503,7,18,2003,45,898,13
Delhi,6/4/2020,6:00 PM,523,7,19,2081,47,903,14
Delhi,7/4/2020,6:00 PM,576,7,21,2156,47,1069,19
Delhi,8/4/2020,5:00 PM,576,9,21,2248,48,1154,24
Delhi,9/4/2020,5:00 PM,669,9,21,2376,50,1510,28
Delhi,10/4/2020,5:00 PM,898,13,25,2514,53,1561,30
Delhi,11/4/2020,5:00 PM,903,14,25,2625,54,1578,32
Delhi,12/4/2020,5:00 PM,1069,19,25,2918,54,1640,38
Delhi,13/04/20,5:00 PM,1154,24,27,3108,54,1707,42
Delhi,14/04/20,5:00 PM,1510,28,30,3314,54,1893,43
Delhi,15/04/20,5:00 PM,1561,30,30,3439,56,2003,45
Delhi,16/04/20,5:00 PM,1578,32,42,3515,59,2081,47
Delhi,17/04/20,5:00 PM,1640,38,51,3738,61,2156,47
Delhi,18/04/20,5:00 PM,1707,42,72,4122,64,2248,48
Delhi,19/04/20,5:00 PM,1893,43,72,4549,64,2376,50
Delhi,20/04/20,5:00 PM,2003,45,290,4898,64,2514,53
Delhi,21/04/20,5:00 PM,2081,47,431,5104,64,2625,54
Delhi,22/04/20,5:00 PM,2156,47,611,5532,65,2918,54
Delhi,23/04/20,5:00 PM,2248,48,724,5980,66,3108,54
Delhi,24/04/20,5:00 PM,2376,50,808,6318,68,3314,54
Delhi,25/04/20,5:00 PM,2514,53,857,6542,73,3439,56
Delhi,26/04/20,5:00 PM,2625,54,869,6923,73,3515,59
Delhi,27/04/20,5:00 PM,2918,54,877,7233,73,3738,61
Delhi,28/04/20,5:00 PM,3108,54,877,7639,86,4122,64
Delhi,29/04/20,5:00 PM,3314,54,1078,7998,106,4549,64
Delhi,30/04/20,5:00 PM,3439,56,1092,8470,115,4898,64
Delhi,1/5/2020,5:00 PM,3515,59,1094,8895,123,5104,64
Delhi,2/5/2020,5:00 PM,3738,61,1167,9333,129,5532,65
Delhi,3/5/2020,5:00 PM,4122,64,1256,10054,160,5980,66
Delhi,4/5/2020,5:00 PM,4549,64,1362,10054,168,6318,68
