district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
Gujarat,20/03/20,6:00 PM,5,0,0,105,10,38,1
Gujarat,21/03/20,6:00 PM,7,0,0,122,11,43,3
Gujarat,22/03/20,6:00 PM,18,1,0,144,12,43,3
Gujarat,23/03/20,6:00 PM,29,1,0,165,13,45,3
Gujarat,24/03/20,6:00 PM,33,1,0,165,13,58,5
Gujarat,25/03/20,6:00 PM,38,1,0,179,16,69,6
Gujarat,26/03/20,6:00 PM,43,3,0,241,17,73,6
Gujarat,27/03/20,10:00 AM,43,3,0,308,19,82,6
Gujarat,28/03/20,6:00 PM,45,3,0,432,22,87,7
Gujarat,29/03/20,7:30 PM,58,5,1,539,26,95,8
Gujarat,30/03/20,9:30 PM,69,6,1,617,26,105,10
Gujarat,31/03/20,8:30 PM,73,6,3,695,30,122,11
Gujarat,1/4/2020,7:30 PM,82,6,5,871,36,144,12
Gujarat,2/4/2020,6:00 PM,87,7,8,1021,38,165,13
Gujarat,3/4/2020,6:00 PM,95,8,10,1272,48,165,13
Gujarat,4/4/2020,6:00 PM,105,10,14,1604,58,179,16
Gujarat,5/4/2020,6:00 PM,122,11,18,1851,67,241,17
Gujarat,6/4/2020,6:00 PM,144,12,22,2066,77,308,19
Gujarat,7/4/2020,6:00 PM,165,13,25,2272,95,432,22
Gujarat,8/4/2020,5:00 PM,165,13,25,2407,103,539,26
Gujarat,9/4/2020,5:00 PM,179,16,25,2624,112,617,26
Gujarat,10/4/2020,5:00 PM,241,17,26,2815,127,695,30
Gujarat,11/4/2020,5:00 PM,308,19,31,3071,133,871,36
Gujarat,12/4/2020,5:00 PM,432,22,44,3301,151,1021,38
Gujarat,13/04/20,5:00 PM,539,26,47,3548,162,1272,48
Gujarat,14/04/20,5:00 PM,617,26,55,3774,181,1604,58
Gujarat,15/04/20,5:00 PM,695,30,59,4082,197,1851,67
Gujarat,16/04/20,5:00 PM,871,36,64,4395,214,2066,77
Gujarat,17/04/20,5:00 PM,1021,38,74,4721,236,2272,95
Gujarat,18/04/20,5:00 PM,1272,48,88,5055,262,2407,103
Gujarat,19/04/20,5:00 PM,1604,58,94,5428,290,2624,112
Gujarat,20/04/20,5:00 PM,1851,67,106,5804,319,2815,127
Gujarat,21/04/20,5:00 PM,2066,77,131,6245,368,3071,133
Gujarat,22/04/20,5:00 PM,2272,95,144,6625,396,3301,151
Gujarat,23/04/20,5:00 PM,2407,103,179,7012,425,3548,162
Gujarat,24/04/20,5:00 PM,2624,112,258,7402,449,3774,181
Gujarat,25/04/20,5:00 PM,2815,127,265,7796,472,4082,197
Gujarat,26/04/20,5:00 PM,3071,133,282,8194,493,4395,214
Gujarat,27/04/20,5:00 PM,3301,151,313,8541,513,4721,236
Gujarat,28/04/20,5:00 PM,3548,162,394,8903,537,5055,262
Gujarat,29/04/20,5:00 PM,3774,181,434,9267,566,5428,290
Gujarat,30/04/20,5:00 PM,4082,197,527,9591,586,5804,319
Gujarat,1/5/2020,5:00 PM,4395,214,613,9931,606,6245,368
Gujarat,2/5/2020,5:00 PM,4721,236,735,10988,625,6625,396
Gujarat,3/5/2020,5:00 PM,5055,262,896,11379,659,7012,425
Gujarat,4/5/2020,5:00 PM,5428,290,1042,11745,694,7402,449
Gujarat,5/5/2020,5:00 PM,5804,319,1195,12140,719,7796,472
Gujarat,6/5/2020,8:00 AM,6245,368,1381,12537,749,8194,493
Gujarat,7/5/2020,8:00 AM,6625,396,1500,12905,773,8541,513
Gujarat,8/5/2020,8:00 AM,7012,425,1709,13268,802,8903,537
Gujarat,9/5/2020,8:00 AM,7402,449,1872,13664,829,9267,566
Gujarat,10/5/2020,8:00 AM,7796,472,2091,14056,858,9591,586
Gujarat,11/5/2020,8:00 AM,8194,493,2545,14460,888,9931,606
Gujarat,12/5/2020,8:00 AM,8541,513,2780,14821,915,10988,625
Gujarat,13/05/20,8:00 AM,8903,537,3246,15195,938,11379,659
Gujarat,14/05/20,8:00 AM,9267,566,3562,15562,960,11745,694
Gujarat,15/05/20,8:00 AM,9591,586,3753,15934,980,12140,719
Gujarat,16/05/20,8:00 AM,9931,606,4035,16343,1007,12537,749
Gujarat,17/05/20,8:00 AM,10988,625,4308,16779,1038,12905,773
Gujarat,18/05/20,8:00 AM,11379,659,4499,17200,1063,13268,802
Gujarat,19/05/20,8:00 AM,11745,694,4804,17617,1092,13664,829
Gujarat,20/05/20,8:00 AM,12140,719,5043,18100,1122,14056,858
Gujarat,21/05/20,8:00 AM,12537,749,5219,18584,1155,14460,888
Gujarat,22/05/20,8:00 AM,12905,773,5488,19094,1190,14821,915
Gujarat,23/05/20,8:00 AM,13268,802,5880,19592,1219,15195,938
Gujarat,24/05/20,8:00 AM,13664,829,6169,20070,1249,15562,960
Gujarat,25/05/20,8:00 AM,14056,858,6412,20545,1280,15934,980
Gujarat,26/05/20,8:00 AM,14460,888,6636,21014,1313,16343,1007
Gujarat,27/05/20,8:00 AM,14821,915,7139,21521,1347,16779,1038
