district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
India,12/31/2019,,0,0,0,0,0,0,0
India,1/1/2020,,0,0,0,0,0,0,0
India,1/2/2020,,0,0,0,0,0,0,0
India,1/3/2020,,0,0,0,0,0,0,0
India,1/4/2020,,0,0,0,0,0,0,0
India,1/5/2020,,0,0,0,0,0,0,0
India,1/6/2020,,0,0,0,0,0,0,0
India,1/7/2020,,0,0,0,0,0,0,0
India,1/8/2020,,0,0,0,0,0,0,0
India,1/9/2020,,0,0,0,0,0,0,0
India,1/10/2020,,0,0,0,0,0,0,0
India,1/11/2020,,0,0,0,0,0,0,0
India,1/12/2020,,0,0,0,0,0,0,0
India,1/13/2020,,0,0,0,0,0,0,0
India,1/14/2020,,0,0,0,0,0,0,0
India,1/15/2020,,0,0,0,1,0,0,0
India,1/16/2020,,0,0,0,1,0,0,0
India,1/17/2020,,0,0,0,1,0,0,0
India,1/18/2020,,0,0,0,2,0,0,0
India,1/19/2020,,0,0,0,2,0,0,0
India,1/20/2020,,0,0,0,3,0,0,0
India,1/21/2020,,0,0,0,3,0,0,0
India,1/22/2020,,0,0,0,3,0,0,0
India,1/23/2020,,0,0,0,3,0,0,0
India,1/24/2020,,0,0,0,3,0,0,0
India,1/25/2020,,0,0,0,3,0,1,0
India,1/26/2020,,0,0,0,3,0,1,0
India,1/27/2020,,0,0,0,3,0,1,0
India,1/28/2020,,0,0,0,3,0,2,0
India,1/29/2020,,0,0,0,3,0,2,0
India,1/30/2020,,1,0,0,3,0,3,0
India,1/31/2020,,1,0,0,3,0,3,0
India,2/1/2020,,1,0,0,3,0,3,0
India,2/2/2020,,2,0,0,3,0,3,0
India,2/3/2020,,2,0,0,3,0,3,0
India,2/4/2020,,3,0,0,3,0,3,0
India,2/5/2020,,3,0,0,3,0,3,0
India,2/6/2020,,3,0,0,3,0,3,0
India,2/7/2020,,3,0,0,3,0,3,0
India,2/8/2020,,3,0,0,3,0,3,0
India,2/9/2020,,3,0,0,3,0,3,0
India,2/10/2020,,3,0,0,3,0,3,0
India,2/11/2020,,3,0,0,3,0,3,0
India,2/12/2020,,3,0,0,3,0,3,0
India,2/13/2020,,3,0,0,3,0,3,0
India,2/14/2020,,3,0,0,3,0,3,0
India,2/15/2020,,3,0,0,3,0,3,0
India,2/16/2020,,3,0,0,3,0,3,0
India,2/17/2020,,3,0,0,5,0,3,0
India,2/18/2020,,3,0,0,6,0,3,0
India,2/19/2020,,3,0,0,28,0,3,0
India,2/20/2020,,3,0,0,29,0,3,0
India,2/21/2020,,3,0,0,31,0,3,0
India,2/22/2020,,3,0,0,34,0,3,0
India,2/23/2020,,3,0,0,44,0,3,0
India,2/24/2020,,3,0,0,50,0,3,0
India,2/25/2020,,3,0,0,73,0,3,0
India,2/26/2020,,3,0,0,75,1,3,0
India,2/27/2020,,3,0,0,83,2,5,0
India,2/28/2020,,3,0,0,90,2,6,0
India,2/29/2020,,3,0,0,93,2,28,0
India,3/1/2020,,3,0,0,125,3,29,0
India,3/2/2020,,3,0,0,137,3,31,0
India,3/3/2020,,5,0,0,165,3,34,0
India,3/4/2020,,6,0,0,191,4,44,0
India,3/5/2020,,28,0,0,231,4,50,0
India,3/6/2020,,29,0,0,320,4,73,0
India,3/7/2020,,31,0,0,439,7,75,1
India,3/8/2020,,34,0,0,492,9,83,2
India,3/10/2020,,44,0,0,562,9,90,2
India,3/11/2020,,50,0,0,649,13,93,2
India,3/12/2020,,73,0,0,724,17,125,3
India,3/13/2020,,75,1,1,873,19,137,3
India,3/14/2020,,83,2,1,979,25,165,3
India,3/15/2020,,90,2,0,1071,29,191,4
India,3/16/2020,,93,2,0,1251,32,231,4
India,3/17/2020,,125,3,1,1397,35,320,4
India,3/18/2020,,137,3,0,1965,50,439,7
India,3/19/2020,,165,3,0,2301,56,492,9
India,3/20/2020,,191,4,1,2902,68,562,9
India,3/21/2020,,231,4,0,3374,77,649,13
India,3/22/2020,,320,4,0,4067,109,724,17
India,3/23/2020,,439,7,3,4421,114,873,19
India,3/24/2020,,492,9,2,5194,149,979,25
India,3/25/2020,,562,9,0,5734,166,1071,29
India,3/26/2020,,649,13,4,6412,199,1251,32
India,3/27/2020,,724,17,4,7447,239,1397,35
India,3/28/2020,,873,19,2,8356,273,1965,50
India,3/29/2020,,979,25,6,9152,308,2301,56
India,3/30/2020,,1071,29,4,10363,339,2902,68
India,3/31/2020,,1251,32,3,11438,377,3374,77
India,4/1/2020,,1397,35,3,12380,414,4067,109
India,4/2/2020,,1965,50,15,13387,437,4421,114
India,4/3/2020,,2301,56,6,14378,480,5194,149
India,4/4/2020,,2902,68,12,15712,507,5734,166
India,4/5/2020,,3374,77,9,17265,543,6412,199
India,4/6/2020,,4067,109,32,18600,590,7447,239
India,4/7/2020,,4421,114,5,19984,640,8356,273
India,4/8/2020,,5194,149,35,21393,681,9152,308
India,4/9/2020,,5734,166,17,23077,718,10363,339
India,4/10/2020,,6412,199,33,24506,775,11438,377
India,4/11/2020,,7447,239,40,26496,824,12380,414
India,4/12/2020,,8356,273,34,27892,872,13387,437
India,4/13/2020,,9152,308,35,29435,934,14378,480
India,4/14/2020,,10363,339,31,31332,1007,15712,507
India,4/15/2020,,11438,377,38,33050,1074,17265,543
India,4/16/2020,,12380,414,37,35043,1147,18600,590
India,4/17/2020,,13387,437,23,37336,1218,19984,640
India,4/18/2020,,14378,480,43,39980,1301,21393,681
India,4/19/2020,,15712,507,27,42533,1373,23077,718
India,4/20/2020,,17265,543,36,46433,1568,24506,775
India,4/21/2020,,18600,590,47,49391,1694,26496,824
India,4/22/2020,,19984,640,50,52952,1783,27892,872
India,4/23/2020,,21393,681,41,56342,1886,29435,934
India,4/24/2020,,23077,718,37,59662,1981,31332,1007
India,4/25/2020,,24506,775,57,62939,2109,33050,1074
India,4/26/2020,,26496,824,49,67152,2206,35043,1147
India,4/27/2020,,27892,872,48,70756,2293,37336,1218
India,4/28/2020,,29435,934,62,74281,2415,39980,1301
India,4/29/2020,,31332,1007,73,78003,2549,42533,1373
India,4/30/2020,,33050,1074,67,81970,2649,46433,1568
India,5/1/2020,,35043,1147,73,85940,2752,49391,1694
India,5/2/2020,,37336,1218,71,90927,2872,52952,1783
India,5/3/2020,,39980,1301,83,96169,3029,56342,1886
India,5/4/2020,,42533,1373,72,101139,3163,59662,1981
India,5/5/2020,,46433,1568,195,106750,3303,62939,2109
India,5/6/2020,,49391,1694,126,112359,3435,67152,2206
India,5/7/2020,,52952,1783,89,118447,3583,70756,2293
India,5/8/2020,,56342,1886,103,125101,3720,74281,2415
India,5/9/2020,,59662,1981,95,131868,3867,78003,2549
India,5/10/2020,,62939,2109,128,138845,4021,81970,2649
India,5/11/2020,,67152,2206,97,145380,4167,85940,2752
India,5/12/2020,,70756,2293,87,151767,4337,90927,2872
India,5/13/2020,,74281,2415,122,158333,4531,96169,3029
India,5/14/2020,,78003,2549,134,165799,4706,101139,3163
India,5/15/2020,,81970,2649,100,173763,4971,106750,3303
India,5/16/2020,,85940,2752,103,182143,5164,112359,3435
India,5/17/2020,,90927,2872,120,190535,5394,118447,3583
India,5/18/2020,,96169,3029,157,198706,5598,125101,3720
India,5/19/2020,,101139,3163,134,207615,5815,131868,3867
India,5/20/2020,,106750,3303,140,216919,6075,138845,4021
India,5/21/2020,,112359,3435,132,226770,6348,145380,4167
India,5/22/2020,,118447,3583,148,236657,6642,151767,4337
India,5/23/2020,,125101,3720,137,246628,6929,158333,4531
India,5/24/2020,,131868,3867,147,256611,7135,165799,4706
India,5/25/2020,,138845,4021,154,266598,7466,173763,4971
India,5/26/2020,,145380,4167,146,276583,7745,182143,5164
India,5/27/2020,,151767,4337,170,286579,8102,190535,5394
India,5/28/2020,,158333,4531,194,297535,8498,198706,5598
India,5/29/2020,,165799,4706,175,308993,8884,207615,5815
India,5/30/2020,,173763,4971,265,320922,9195,216919,6075
India,5/31/2020,,182143,5164,193,332424,9520,226770,6348
India,6/1/2020,,190535,5394,230,343091,9900,236657,6642
India,6/2/2020,,198706,5598,204,354065,11903,246628,6929
India,6/3/2020,,207615,5815,217,366946,12237,256611,7135
India,6/4/2020,,216919,6075,260,380532,12573,266598,7466
India,6/5/2020,,226770,6348,273,395048,12948,276583,7745
India,6/6/2020,,236657,6642,294,410461,13254,286579,8102
India,6/7/2020,,246628,6929,287,425282,13699,297535,8498
India,6/8/2020,,256611,7135,206,440215,14011,308993,8884
India,6/9/2020,,266598,7466,331,456183,14476,320922,9195
India,6/10/2020,,276583,7745,279,473105,14894,332424,9520
India,6/11/2020,,286579,8102,357,490401,15301,343091,9900
India,6/12/2020,,297535,8498,396,508953,15685,354065,11903
India,6/13/2020,,308993,8884,386,528859,16095,366946,12237
India,6/14/2020,,320922,9195,311,548318,16475,380532,12573
India,6/15/2020,,332424,9520,325,566840,16893,395048,12948
India,6/16/2020,,343091,9900,380,585493,17400,410461,13254
India,6/17/2020,,354065,11903,2003,604641,17834,425282,13699
India,6/18/2020,,366946,12237,334,625544,18213,440215,14011
India,6/19/2020,,380532,12573,336,648315,18655,456183,14476
India,6/20/2020,,395048,12948,375,673165,19268,473105,14894
India,6/21/2020,,410461,13254,306,697413,19693,490401,15301
India,6/22/2020,,425282,13699,445,719665,20160,508953,15685
India,6/23/2020,,440215,14011,312,742417,20642,528859,16095
India,6/24/2020,,456183,14476,465,767296,21129,548318,16475
India,6/25/2020,,473105,14894,418,793802,21604,566840,16893
India,6/26/2020,,490401,15301,407,820916,22123,585493,17400
India,6/27/2020,,508953,15685,384,849553,22674,604641,17834
India,6/28/2020,,528859,16095,410,878254,23174,625544,18213
India,6/29/2020,,548318,16475,380,906752,23727,648315,18655
India,6/30/2020,,566840,16893,418,936181,24309,673165,19268
India,7/1/2020,,585493,17400,507,968876,24915,697413,19693
India,7/2/2020,,604641,17834,434,1003832,25602,719665,20160
India,7/3/2020,,625544,18213,379,1038716,26273,742417,20642
India,7/4/2020,,648315,18655,442,1077618,26816,767296,21129
India,7/5/2020,,673165,19268,613,1118043,27497,793802,21604
India,7/6/2020,,697413,19693,425,1155191,28084,820916,22123
