district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
Spain,12/31/2019,,0,0,,0,0,0,0
Spain,1/1/2020,,0,0,,0,0,0,0
Spain,1/2/2020,,0,0,,0,0,0,0
Spain,1/3/2020,,0,0,,0,0,0,0
Spain,1/4/2020,,0,0,,0,0,0,0
Spain,1/5/2020,,0,0,,0,0,0,0
Spain,1/6/2020,,0,0,,0,0,0,0
Spain,1/7/2020,,0,0,,0,0,0,0
Spain,1/8/2020,,0,0,,0,0,0,0
Spain,1/9/2020,,0,0,,0,0,0,0
Spain,1/10/2020,,0,0,,0,0,0,0
Spain,1/11/2020,,0,0,,0,0,0,0
Spain,1/12/2020,,0,0,,0,0,0,0
Spain,1/13/2020,,0,0,,0,0,0,0
Spain,1/14/2020,,0,0,,0,0,0,0
Spain,1/15/2020,,0,0,,0,0,0,0
Spain,1/16/2020,,0,0,,0,0,0,0
Spain,1/17/2020,,0,0,,1,0,0,0
Spain,1/18/2020,,0,0,,1,0,0,0
Spain,1/19/2020,,0,0,,1,0,0,0
Spain,1/20/2020,,0,0,,1,0,0,0
Spain,1/21/2020,,0,0,,1,0,0,0
Spain,1/22/2020,,0,0,,1,0,0,0
Spain,1/23/2020,,0,0,,1,0,0,0
Spain,1/24/2020,,0,0,,1,0,0,0
Spain,1/25/2020,,0,0,,1,0,0,0
Spain,1/26/2020,,0,0,,2,0,0,0
Spain,1/27/2020,,0,0,,2,0,1,0
Spain,1/28/2020,,0,0,,2,0,1,0
Spain,1/29/2020,,0,0,,2,0,1,0
Spain,1/30/2020,,0,0,,2,0,1,0
Spain,1/31/2020,,0,0,,2,0,1,0
Spain,2/1/2020,,1,0,,2,0,1,0
Spain,2/2/2020,,1,0,,2,0,1,0
Spain,2/3/2020,,1,0,,2,0,1,0
Spain,2/4/2020,,1,0,,2,0,1,0
Spain,2/5/2020,,1,0,,2,0,2,0
Spain,2/6/2020,,1,0,,2,0,2,0
Spain,2/7/2020,,1,0,,2,0,2,0
Spain,2/8/2020,,1,0,,2,0,2,0
Spain,2/9/2020,,1,0,,2,0,2,0
Spain,2/10/2020,,2,0,,3,0,2,0
Spain,2/11/2020,,2,0,,9,0,2,0
Spain,2/12/2020,,2,0,,17,0,2,0
Spain,2/13/2020,,2,0,,35,0,2,0
Spain,2/14/2020,,2,0,,54,0,2,0
Spain,2/15/2020,,2,0,,82,0,2,0
Spain,2/16/2020,,2,0,,136,0,2,0
Spain,2/17/2020,,2,0,,192,0,2,0
Spain,2/18/2020,,2,0,,267,0,2,0
Spain,2/19/2020,,2,0,,348,1,2,0
Spain,2/20/2020,,2,0,,531,3,3,0
Spain,2/21/2020,,2,0,,764,5,9,0
Spain,2/22/2020,,2,0,,1094,5,17,0
Spain,2/23/2020,,2,0,,1527,5,35,0
Spain,2/24/2020,,2,0,,2299,28,54,0
Spain,2/25/2020,,3,0,,3274,35,82,0
Spain,2/26/2020,,9,0,,4427,47,136,0
Spain,2/27/2020,,17,0,,5958,84,192,0
Spain,2/28/2020,,35,0,,7641,121,267,0
Spain,2/29/2020,,54,0,,9785,136,348,1
Spain,3/1/2020,,82,0,,11491,288,531,3
Spain,3/2/2020,,136,0,,13994,309,764,5
Spain,3/3/2020,,192,0,,17688,491,1094,5
Spain,3/4/2020,,267,0,,21735,598,1527,5
Spain,3/5/2020,,348,1,,26304,767,2299,28
Spain,3/6/2020,,531,3,,31750,1002,3274,35
Spain,3/7/2020,,764,5,,36616,1326,4427,47
Spain,3/8/2020,,1094,5,,41262,1720,5958,84
Spain,3/9/2020,,1527,5,,48953,2182,7641,121
Spain,3/10/2020,,2299,28,,57506,2696,9785,136
Spain,3/11/2020,,3274,35,,66460,3434,11491,288
Spain,3/12/2020,,4427,47,,75641,4089,13994,309
Spain,3/13/2020,,5958,84,,83885,4858,17688,491
Spain,3/14/2020,,7641,121,,90309,5690,21735,598
Spain,3/15/2020,,9785,136,,96122,6528,26304,767
Spain,3/16/2020,,11491,288,,104267,7340,31750,1002
Spain,3/17/2020,,13994,309,,111680,8189,36616,1326
Spain,3/18/2020,,17688,491,,119263,9053,41262,1720
Spain,3/19/2020,,21735,598,,126535,10003,48953,2182
Spain,3/20/2020,,26304,767,,133198,10935,57506,2696
Spain,3/21/2020,,31750,1002,,138731,11744,66460,3434
Spain,3/22/2020,,36616,1326,,142398,12418,75641,4089
Spain,3/23/2020,,41262,1720,,147607,13055,83885,4858
Spain,3/24/2020,,48953,2182,,153190,13798,90309,5690
Spain,3/25/2020,,57506,2696,,158935,14555,96122,6528
Spain,3/26/2020,,66460,3434,,163472,15238,104267,7340
Spain,3/27/2020,,75641,4089,,168022,15843,111680,8189
Spain,3/28/2020,,83885,4858,,171921,16353,119263,9053
Spain,3/29/2020,,90309,5690,,174951,16972,126535,10003
Spain,3/30/2020,,96122,6528,,178067,17489,133198,10935
Spain,3/31/2020,,104267,7340,,182491,18276,138731,11744
Spain,4/1/2020,,111680,8189,,186311,18893,142398,12418
Spain,4/2/2020,,119263,9053,,190129,19478,147607,13055
Spain,4/3/2020,,126535,10003,,193965,20043,153190,13798
Spain,4/4/2020,,133198,10935,,193252,20453,158935,14555
Spain,4/5/2020,,138731,11744,,195470,20852,163472,15238
Spain,4/6/2020,,142398,12418,,198421,21282,168022,15843
Spain,4/7/2020,,147607,13055,,200733,21717,171921,16353
Spain,4/8/2020,,153190,13798,,203649,22157,174951,16972
Spain,4/9/2020,,158935,14555,,205763,22524,178067,17489
Spain,4/10/2020,,163472,15238,,208269,22902,182491,18276
Spain,4/11/2020,,168022,15843,,209910,23190,186311,18893
Spain,4/12/2020,,171921,16353,,211570,23190,190129,19478
Spain,4/13/2020,,174951,16972,,213095,23822,193965,20043
Spain,4/14/2020,,178067,17489,,213942,24275,193252,20453
Spain,4/15/2020,,182491,18276,,215183,24543,195470,20852
Spain,4/16/2020,,186311,18893,,216570,24824,198421,21282
Spain,4/17/2020,,190129,19478,,217804,25100,200733,21717
Spain,4/18/2020,,193965,20043,,218739,25264,203649,22157
Spain,4/19/2020,,193252,20453,,219205,25428,205763,22524
Spain,4/20/2020,,195470,20852,,220244,25613,208269,22902
Spain,4/21/2020,,198421,21282,,221124,25857,209910,23190
Spain,4/22/2020,,200733,21717,,222045,26070,211570,23190
Spain,4/23/2020,,203649,22157,,223218,26251,213095,23822
Spain,4/24/2020,,205763,22524,,223961,26478,213942,24275
Spain,4/25/2020,,208269,22902,,227377,26621,215183,24543
Spain,4/26/2020,,209910,23190,,227770,26744,216570,24824
Spain,4/27/2020,,211570,23190,,228252,26920,217804,25100
Spain,4/28/2020,,213095,23822,,228691,27104,218739,25264
Spain,4/29/2020,,213942,24275,,229540,27321,219205,25428
Spain,4/30/2020,,215183,24543,,230183,27459,220244,25613
Spain,5/1/2020,,216570,24824,,230698,27563,221124,25857
Spain,5/2/2020,,217804,25100,,231350,27650,222045,26070
Spain,5/3/2020,,218739,25264,,231606,27709,223218,26251
Spain,5/4/2020,,219205,25428,,232037,27778,223961,26478
Spain,5/5/2020,,220244,25613,,232555,27888,227377,26621
Spain,5/6/2020,,221124,25857,,233037,27940,227770,26744
Spain,5/7/2020,,222045,26070,,234824,28628,228252,26920
Spain,5/8/2020,,223218,26251,,235290,28678,228691,27104
Spain,5/9/2020,,223961,26478,,235772,28752,229540,27321
Spain,5/10/2020,,227377,26621,,235400,26834,230183,27459
Spain,5/11/2020,,227770,26744,,236259,27117,230698,27563
Spain,5/12/2020,,228252,26920,,236769,27118,231350,27650
Spain,5/13/2020,,228691,27104,,237906,27119,231606,27709
Spain,5/14/2020,,229540,27321,,238564,27121,232037,27778
Spain,5/15/2020,,230183,27459,,239228,27125,232555,27888
Spain,5/16/2020,,230698,27563,,239429,27127,233037,27940
Spain,5/17/2020,,231350,27650,,239638,27127,234824,28628
Spain,5/18/2020,,231606,27709,,239932,27127,235290,28678
Spain,5/19/2020,,232037,27778,,240326,27128,235772,28752
Spain,5/20/2020,,232555,27888,,240660,27133,235400,26834
Spain,5/21/2020,,233037,27940,,240978,27134,236259,27117
Spain,5/22/2020,,234824,28628,,241310,27135,236769,27118
Spain,5/23/2020,,235290,28678,,241550,27136,237906,27119
