district,date,active,confirmed,death,cured,confirmed 15,death 15,confirmed 5,death 5
World,12/31/2019,,27,0,,61,2,59,0
World,1/1/2020,,27,0,,61,2,59,0
World,1/2/2020,,27,0,,66,2,59,0
World,1/3/2020,,44,0,,83,2,59,0
World,1/4/2020,,44,0,,219,3,59,0
World,1/5/2020,,59,0,,239,3,59,0
World,1/6/2020,,59,0,,392,6,59,1
World,1/7/2020,,59,0,,534,17,59,1
World,1/8/2020,,59,0,,631,17,60,1
World,1/9/2020,,59,0,,897,26,60,1
World,1/10/2020,,59,0,,1350,41,61,2
World,1/11/2020,,59,1,,2023,56,61,2
World,1/12/2020,,59,1,,2820,81,66,2
World,1/13/2020,,60,1,,4587,106,83,2
World,1/14/2020,,60,1,,6067,132,219,3
World,1/15/2020,,61,2,,7823,170,239,3
World,1/16/2020,,61,2,,9826,213,392,6
World,1/17/2020,,66,2,,11946,259,534,17
World,1/18/2020,,83,2,,14554,305,631,17
World,1/19/2020,,219,3,,17372,362,897,26
World,1/20/2020,,239,3,,20615,427,1350,41
World,1/21/2020,,392,6,,24522,493,2023,56
World,1/22/2020,,534,17,,28273,565,2820,81
World,1/23/2020,,631,17,,31491,638,4587,106
World,1/24/2020,,897,26,,34933,724,6067,132
World,1/25/2020,,1350,41,,37552,813,7823,170
World,1/26/2020,,2023,56,,40540,910,9826,213
World,1/27/2020,,2820,81,,43105,1018,11946,259
World,1/28/2020,,4587,106,,45177,1115,14554,305
World,1/29/2020,,6067,132,,60328,1370,17372,362
World,1/30/2020,,7823,170,,64543,1383,20615,427
World,1/31/2020,,9826,213,,67103,1527,24522,493
World,2/1/2020,,11946,259,,69265,1669,28273,565
World,2/2/2020,,14554,305,,71332,1775,31491,638
World,2/3/2020,,17372,362,,73327,1873,34933,724
World,2/4/2020,,20615,427,,75191,2012,37552,813
World,2/5/2020,,24522,493,,75723,2128,40540,910
World,2/6/2020,,28273,565,,76719,2247,43105,1018
World,2/7/2020,,31491,638,,77804,2359,45177,1115
World,2/8/2020,,34933,724,,78812,2463,60328,1370
World,2/9/2020,,37552,813,,79339,2619,64543,1383
World,2/10/2020,,40540,910,,80132,2698,67103,1527
World,2/11/2020,,43105,1018,,80997,2762,69265,1669
World,2/12/2020,,45177,1115,,82106,2800,71332,1775
World,2/13/2020,,60328,1370,,83375,2857,73327,1873
World,2/14/2020,,64543,1383,,85225,2921,75191,2012
World,2/15/2020,,67103,1527,,87042,2979,75723,2128
World,2/16/2020,,69265,1669,,89136,3046,76719,2247
World,2/17/2020,,71332,1775,,90969,3118,77804,2359
World,2/18/2020,,73327,1873,,93250,3202,78812,2463
World,2/19/2020,,75191,2012,,95566,3282,79339,2619
World,2/20/2020,,75723,2128,,98599,3384,80132,2698
World,2/21/2020,,76719,2247,,102734,3488,80997,2762
World,2/22/2020,,77804,2359,,106666,3585,82106,2800
World,2/23/2020,,78812,2463,,110844,3813,83375,2857
World,2/24/2020,,79339,2619,,115597,4022,85225,2921
World,2/25/2020,,80132,2698,,120587,4297,87042,2979
World,2/26/2020,,80997,2762,,128249,4621,89136,3046
World,2/27/2020,,82106,2800,,137435,4973,90969,3118
World,2/28/2020,,83375,2857,,147484,5417,93250,3202
World,2/29/2020,,85225,2921,,159670,5783,95566,3282
World,3/1/2020,,87042,2979,,172067,6540,98599,3384
World,3/2/2020,,89136,3046,,185988,7149,102734,3488
